8.82093 36.2627 13.7178	9.01681 -14.4873 -1.40259
10.7877 38.2179 13.7162	-3.79535 -8.66229 0.096825
8.82374 40.1745 13.7277	2.83524 2.78457 -1.87015
10.7895 42.1271 13.7196	-3.07169 5.63075 1.84734
8.82478 44.0844 13.718	-8.59793 2.61032 -9.19919
10.7863 46.0448 13.696	-16.8771 1.15557 -23.0617
0.965559 38.2069 15.687	-5.93344 6.73973 14.6469
2.92777 36.245 15.6897	-3.09013 8.54651 9.17799
0.972098 42.1398 15.6902	19.1729 -12.8323 7.40581
2.92079 40.1692 15.6954	9.23668 3.85901 -0.697315
0.978245 46.0652 15.6819	16.1975 -9.01159 6.42327
2.92696 44.1009 15.691	21.1769 -16.7546 1.17236
4.88492 38.2053 15.6986	5.04388 -5.48087 0.582943
6.85579 36.2535 15.6934	-2.02017 -1.88903 0.452718
4.87906 42.1309 15.7016	15.9225 -10.9673 -7.55498
6.84421 40.1688 15.7017	2.35233 -6.76638 -8.60958
4.88544 46.0559 15.6946	17.3246 -6.51393 -2.85402
6.84148 44.09 15.6994	15.8641 -14.5975 -8.40033
8.81205 38.2163 15.6924	-2.92379 -5.9791 -2.68898
10.7805 36.2651 15.6864	-0.793311 2.64015 4.27697
8.80535 42.1326 15.6951	6.0926 -8.63528 -11.4257
10.7686 40.1794 15.6934	9.4233 2.25942 -6.30478
8.80519 46.0471 15.6916	12.6589 -10.0095 -1.23776
10.7641 44.095 15.6849	14.2026 -12.9338 -7.93919
0.978347 36.2462 17.6381	13.9719 25.1508 -1.25981
2.93872 38.2078 17.635	22.9437 23.925 -7.10871
0.98163 40.1751 17.6361	17.2258 21.9124 0.770158
2.934 42.1438 17.6351	24.8839 1.03766 6.37462
0.985081 44.1127 17.6376	8.49824 -17.4367 -4.26863
2.93741 46.0771 17.6398	24.7093 -8.00668 3.41352
4.8991 36.2484 17.6385	24.1266 28.7709 -5.15104
6.85052 38.2162 17.6392	1.53426 22.53 -8.72904
4.89151 40.175 17.6343	16.7313 27.742 -1.78821
6.84249 42.1426 17.6338	-2.45656 -0.14867 4.9782
4.88814 44.1098 17.6325	18.704 -17.8343 8.50818
6.84515 46.068 17.6353	-1.68708 -12.5486 15.1932
8.80975 36.2579 17.6421	-4.94075 18.4539 -13.4637
10.7602 38.2249 17.6413	9.48409 23.3046 -4.89566
8.80218 40.1831 17.6382	-8.07903 20.5745 -3.31526
10.7594 42.1473 17.6417	15.461 -2.75325 5.64505
8.79851 44.1052 17.6382	-5.16957 -16.5924 14.2811
10.7622 46.0616 17.6434	4.76598 -6.95023 9.37228
0.984913 38.2202 19.5851	2.08665 12.5445 -2.93727
2.94207 36.2638 19.5897	5.81178 16.476 -1.82768
0.984235 42.1415 19.5847	-6.16906 4.14054 -10.6508
2.94456 40.1835 19.5818	-1.00808 12.2851 4.47673
0.980982 46.0664 19.5929	8.71153 14.8768 -11.3668
2.9421 44.1084 19.5867	1.12185 0.474322 -10.9855
4.90417 38.223 19.5834	2.29706 18.083 16.804
6.86239 36.2588 19.5879	4.81704 25.5744 13.2541
4.90483 42.149 19.5808	-0.203515 3.36286 6.49469
6.86512 40.1886 19.5811	-5.46344 18.8604 19.6671
4.90355 46.0762 19.5882	8.09822 -4.64053 -10.9078
6.86291 44.1158 19.5853	0.735929 -7.3371 2.81956
8.82407 38.219 19.5875	3.19358 17.0205 16.5974
10.7772 36.2562 19.5978	12.8324 16.4576 7.91521
8.82315 42.1534 19.5828	-4.7872 4.79513 3.66732
10.7789 40.184 19.5858	13.6935 14.2266 4.82108
8.82046 46.078 19.5914	3.94745 -10.3282 -5.29296
10.7812 44.1147 19.5879	3.80698 -8.13953 -4.90398
0.986225 36.2764 21.5754	-21.9256 -9.75109 15.4636
2.95468 38.2359 21.5583	-21.1885 -5.04746 5.22608
0.992553 40.1875 21.5586	-8.95994 -2.89951 -0.765049
2.96215 42.1413 21.5499	-5.17976 -2.45603 1.73052
0.991334 44.0928 21.5677	0.491465 2.38418 12.6953
2.9572 46.0519 21.5637	-4.05242 6.79735 14.4569
4.91164 36.2701 21.5583	-21.0951 -15.4795 8.39634
6.87748 38.2246 21.5441	-26.7797 -23.1624 1.48507
4.92293 40.187 21.5389	-31.0057 -7.57283 2.78582
6.88834 42.14 21.5415	-27.4916 3.11935 -5.52614
4.92412 44.0979 21.5484	-5.93399 4.11264 1.03058
6.88193 46.0597 21.5578	-9.16282 10.2075 8.99671
8.82723 36.259 21.5722	-35.7952 -23.6133 11.8661
10.7922 38.2139 21.5705	-40.9496 -20.7941 12.2033
8.84266 40.1813 21.547	-31.0463 -12.828 -1.54689
10.8028 42.1422 21.5602	-31.7622 0.160659 -2.79264
8.84906 44.1013 21.5584	-19.563 10.1394 -4.08379
10.8068 46.0651 21.5743	-20.8356 6.73338 5.67006
12.7465 0.968764 13.6996	-20.3126 -2.72549 -25.132
14.7027 2.93571 13.7209	-17.8251 0.0890938 -5.91848
12.7358 4.88829 13.7216	-12.9872 -12.0435 -6.6113
14.6929 6.85639 13.7324	-4.84237 -8.98524 -0.0543461
12.7326 8.80936 13.7123	-9.20296 -6.61351 -4.94517
14.6912 10.7772 13.7137	-10.8658 -9.5053 -2.18873
16.6675 0.981368 13.7216	0.597137 2.22911 -14.8674
18.6245 2.94853 13.7296	-2.33769 -11.8421 -7.50716
16.659 4.9017 13.7384	-11.0152 -13.5264 0.69655
18.618 6.86393 13.7379	-11.9923 -16.8388 2.33749
16.6512 8.82078 13.7356	-13.5753 -8.86199 3.87458
18.6092 10.7832 13.7269	-19.1646 -11.2469 2.83979
20.5836 0.983817 13.7107	4.33366 -17.6627 -14.0006
22.5437 2.94792 13.7135	0.430801 -20.6577 -13.6969
20.5836 4.91077 13.7303	-10.216 -13.7467 -0.343645
22.5418 6.87392 13.7182	-11.7424 -9.20528 -2.92676
20.5748 8.83033 13.7187	-9.82238 -13.2968 -2.0295
22.5384 10.7953 13.7025	-17.1457 -13.4407 -14.1607
12.7256 2.92614 15.6963	18.8515 2.41163 5.35208
14.685 0.975423 15.6946	16.9538 10.7517 13.2262
12.7323 6.85577 15.6938	7.6918 -6.60683 5.72746
14.6838 4.88983 15.7044	19.3701 3.42661 -8.26712
12.7328 10.785 15.6824	-5.31032 2.90469 14.2438
14.6901 8.82318 15.6926	8.49119 -4.85693 -1.28071
16.6458 2.93588 15.7045	14.3581 7.34183 -4.02412
18.6106 0.985569 15.6983	1.58283 2.28107 8.04945
16.6426 6.85919 15.706	16.9335 7.48371 -13.742
18.6055 4.90099 15.7087	4.41328 3.25602 -12.4644
16.6532 10.7863 15.6935	1.90704 8.00938 -6.17303
18.6084 8.82517 15.6981	7.44151 3.83425 -15.4406
20.5693 2.94686 15.6962	-6.91937 8.49829 1.1318
22.5321 0.994732 15.6856	-5.06075 11.6922 12.2217
20.5682 6.86902 15.7026	7.19369 -0.415067 -0.599667
22.5302 4.90879 15.6941	7.44845 12.4562 0.334175
20.5755 10.7841 15.6921	-1.77882 5.67439 -1.14824
22.5324 8.8305 15.6908	9.43361 -7.43738 9.75858
12.729 0.974948 17.6427	24.167 7.16356 -2.42272
14.6929 2.93194 17.6403	29.2941 17.452 -0.575253
12.7344 4.89822 17.6418	11.553 16.1964 -0.55476
14.6941 6.85826 17.6412	16.6675 6.38251 8.24346
12.7422 8.82866 17.6373	17.1441 -9.08257 -6.41597
14.7038 10.786 17.6388	13.8165 4.48384 -6.68301
16.6531 0.973937 17.638	28.6353 20.743 -5.48446
18.6116 2.9326 17.6374	-4.76683 29.9975 5.22145
16.648 4.89347 17.6373	6.65287 16.8976 5.30251
18.6067 6.85492 17.6388	-12.8732 14.5645 7.05163
16.6531 8.81618 17.6418	6.50143 -10.9281 12.9572
18.6149 10.7752 17.6436	-17.1025 5.13123 9.2245
20.5736 0.975039 17.6401	-6.82803 29.3176 -5.78251
22.5334 2.93572 17.643	-6.55782 34.3227 3.69355
20.5699 4.89609 17.6404	-20.8969 33.1078 2.60012
22.5325 6.8558 17.6428	-9.81239 18.7066 -9.80281
20.5703 8.81199 17.642	-25.6855 -3.6878 -1.69153
22.5328 10.7685 17.6415	-10.3887 9.2008 -11.3283
12.7425 2.94632 19.5898	6.92873 4.30549 -10.0299
14.6962 0.981679 19.5934	10.1483 -0.727663 -2.37687
12.7452 6.87044 19.5878	1.31372 4.02413 -8.23199
14.7047 4.90316 19.5853	6.26402 7.09727 -4.15238
12.7492 10.7895 19.5959	1.72526 11.1261 -7.10949
14.7066 8.82645 19.5912	-7.03529 5.01871 -6.29373
16.6619 2.93446 19.585	3.40286 9.80473 1.28834
18.6248 0.972595 19.5881	2.39287 18.4412 6.43233
16.6682 6.86007 19.5843	-10.4551 5.11262 -1.33994
18.6288 4.89057 19.5807	-8.71213 6.44328 7.91835
16.6683 10.7809 19.5893	-8.85259 13.5962 -4.41095
18.6292 8.81635 19.587	-15.6856 -0.427543 -6.91327
20.589 2.92565 19.5849	-6.71229 15.355 -1.03536
22.5459 0.967056 19.5932	1.63935 15.8064 -7.16909
20.5881 6.8486 19.5826	-17.9315 6.59245 2.84661
22.5473 4.88217 19.5814	-8.02998 14.7803 -2.44278
20.5856 10.7741 19.5953	-11.7318 5.72027 -0.729627
22.5424 8.80874 19.5903	-13.6494 4.76916 5.24135
12.7611 0.993379 21.5773	-11.7386 2.05975 11.5394
14.7186 2.95537 21.5576	-4.65156 -5.14439 10.9244
12.7564 4.91137 21.5572	-11.3883 4.40243 4.03684
14.7194 6.86312 21.5519	2.7517 -3.16984 6.64108
12.7451 8.81202 21.5716	11.9348 -2.03054 16.3992
14.7065 10.7676 21.5696	25.7633 -16.6032 20.1537
16.6741 0.985935 21.5554	-24.2456 -11.4323 -4.43091
18.6297 2.94092 21.5467	-8.74757 -20.8312 -3.87906
16.6765 4.90966 21.5417	3.55175 -16.4655 1.56554
18.6342 6.86502 21.543	17.2769 -18.5507 0.802927
16.6782 8.8175 21.5537	22.6109 -12.6573 15.4046
18.6313 10.779 21.5632	29.6823 -21.7158 23.6685
20.5845 0.976672 21.5683	-27.5138 -27.2672 8.04411
22.5442 2.93668 21.5703	-17.1447 -28.7639 11.726
20.5874 4.89737 21.5495	8.16996 -24.4781 2.78918
22.5481 6.8553 21.559	19.4832 -21.7205 3.64473
20.5912 8.82086 21.5622	27.2778 -19.6947 9.68733
