4.94716 44.0833 13.6542	38.3624 -97.6006 131.594
6.8623 46.0449 13.6802	-58.432 18.3649 -32.1037
8.84356 36.2869 13.7902	79.7188 -0.57178 156.947
10.8725 38.176 13.7507	14.0338 122.098 -32.8229
8.90313 40.1809 13.7432	-176.222 -30.1708 -28.4752
10.851 42.0766 13.7337	49.2016 -38.5974 0.727506
8.79913 44.0752 13.7135	101.4 -36.5257 53.3483
10.8347 45.9059 13.65	-17.2948 41.0702 96.4948
1.03652 38.1825 15.7002	21.9535 130.731 133.457
2.91618 36.1891 15.7497	11.9077 -164.256 -53.5378
0.946922 42.1307 15.7165	-22.0144 -55.6408 -115.136
3.0063 40.2281 15.7087	-91.8474 34.1144 -44.8532
0.948332 45.9793 15.7016	17.0387 42.455 -67.3526
2.9744 44.12 15.6601	11.057 89.6016 -19.3186
4.92409 38.1953 15.6623	-51.0071 -111.821 -72.905
6.91857 36.2517 15.7255	-11.1814 100.483 168.772
4.95316 42.1695 15.6803	19.3344 66.6103 29.0887
6.94427 40.1236 15.7143	-6.15477 -33.5375 31.0362
4.92005 46.0816 15.6828	8.82769 11.9032 -67.9657
6.82987 44.1317 15.6958	-123.067 24.1983 91.0648
8.88966 38.1938 15.7267	97.5964 -137.262 101.645
10.8314 36.2279 15.7068	-32.6445 -22.114 -145.374
8.75115 42.1392 15.6969	-174.957 -70.3346 76.3044
10.8337 40.1196 15.6882	62.6783 -0.332308 57.643
8.78828 46.0253 15.6584	-166.006 -35.1382 -68.8114
10.7622 43.9622 15.724	-59.233 -10.2493 -29.7873
0.98314 36.1918 17.6321	52.1885 -16.9345 129.766
2.90579 38.1891 17.5952	-59.8977 2.2253 -216.67
1.01966 40.1806 17.6319	-7.71808 -22.0087 46.2227
2.99432 42.167 17.6442	169.614 -138.409 48.8788
0.94474 44.0896 17.6756	-94.3887 210.119 -109.803
2.94442 46.0892 17.6419	111.719 125.329 93.2247
4.8375 36.2272 17.6718	69.7504 -127.748 127.259
6.8718 38.1889 17.6566	-51.8476 -82.1675 147.13
